auto_id,Year,Make,Model,Full Carbon,Full Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
443,Other,Subaru,BRZ,200,300,120,170,130,200
444,Other,Subaru,Crosstrek,280,380,120,170,250,350
445,Other,Subaru,Forester,260,360,120,170,220,320
446,Other,Subaru,Impresza sedan,220,320,120,170,170,260
447,Other,Subaru,Impreza hatchback,280,380,120,170,230,330
448,Other,Subaru,Legacy,220,320,120,170,170,260
449,2024,Subaru,Solterra,250,350,120,170,200,300
450,2005,Subaru,Outback,260,360,100,150,220,320
451,Other,Subaru,Outback,280,380,120,170,260,360
452,Other,Subaru,Wilderness,280,380,120,170,260,360
453,Other,Subaru,WRX,220,320,120,170,170,260
454,2005,Subaru,WRX STI,200,280,100,150,170,260
455,2003,Subaru,WRX,225,325,100,150,200,300
456,2000,Suzuki,Grand Vatara,260,360,100,150,220,320
457,Other,Tesla,Model S,220,320,120,170,170,260
458,Other,Tesla,Model Y,300,400,100,150,260,350
459,Other,Toyota,Avalon,200,280,100,150,170,260
460,Other,Toyota,86,180,280,100,150,130,200
461,Other,Toyota,GR86,200,280,120,170,130,200
462,Other,Toyota,4Runner,400,500,100,150,350,450
463,Other,Toyota,Camry,200,280,100,150,170,260
464,2001,Toyota,Celica,200,280,100,150,130,200
465,Other,Toyota,CHR,225,325,120,170,195,275
466,2019,Toyota,Corolla,200,280,100,150,180,260
467,2020,Toyota,Corolla,220,300,120,170,180,260
468,2022,Toyota,Corolla Cross,280,380,120,170,250,350
469,2019,Toyota,Corolla Hatchback,220,320,120,170,170,260
470,Other,Toyota,Crown,200,280,100,150,150,225
471,Other,Toyota,FJ Cruiser,260,360,100,150,220,320
472,Other,Toyota,FRS,200,280,120,170,130,200
473,Other,Toyota,Highlander,280,380,100,150,220,320
474,Other,Toyota,iM hatchback,200,300,100,150,170,260
475,2003,Toyota,Matrix,250,350,100,150,170,260
476,2009,Toyota,Matrix,190,290,100,150,180,270
477,2022,Toyota,Mirai,220,320,120,170,200,280
478,Other,Toyota,Mirai,220,320,120,170,180,260
479,2024,Toyota,Prius,220,320,120,170,170,240
480,2023,Toyota,Prius,220,320,120,170,170,240
481,Other,Toyota,Prius C,220,320,120,170,170,240
482,Other,Toyota,Prius V,220,320,120,170,170,240
483,Other,Toyota,Prius Prime,240,340,120,170,200,280
484,2023,Toyota,Prius,220,320,120,170,170,240
485,2019,Toyota,Rav 4,280,380,120,170,250,350
486,Other,Toyota,Rav 4,260,360,120,170,220,320
487,Other,Toyota,Scion IA,200,280,100,150,130,200
488,Other,Toyota,Scion XA,200,280,100,150,170,260
489,Other,Toyota,Sequoia,260,360,100,150,220,320
490,2021,Toyota,Sienna,280,380,120,170,220,320
491,2000,Toyota,Sienna,260,360,100,150,220,320
492,Other,Toyota,Solara,180,280,100,150,130,200
493,Other,Toyota,Supra,180,280,100,150,130,200
494,2022,Toyota,Tacoma,200,300,100,150,170,260
495,Other,Toyota,Tacoma,200,300,100,150,170,260
496,Other,Toyota,Tundra,200,280,100,150,170,260
497,Other,Toyota,Tundra,200,300,100,150,170,260
498,Other,Toyota,Venza,260,360,120,170,225,325
499,Other,Toyota,Yaris,200,280,120,170,180,260
500,2008,Toyota,Yaris,200,300,120,170,100,175
501,Other,Volkswagen,Arteon,200,280,100,150,180,260
502,Other,Volkswagen,Atlas,260,360,100,150,220,320
503,Other,Volkswagen,cc,200,280,100,150,180,260
504,2010,Volkswagen,cc,210,310,100,150,180,260
